Halwa Recipes

|----------------|---------|---------|----------|
|  Combinations  |  Sugar  |  Milk   |  Carrot  |
|----------------|---------|---------|----------|
|       1        |  10gm   |  200ml  |  500gm   |
|----------------|---------|---------|----------|
|       2        |  10gm   |  200ml  |  600gm   |
|----------------|---------|---------|----------|
|       3        |  10gm   |  200ml  |  800gm   |
|----------------|---------|---------|----------|
|       4        |  10gm   |  300ml  |  500gm   |
|----------------|---------|---------|----------|
|       5        |  10gm   |  300ml  |  600gm   |
|----------------|---------|---------|----------|
|       6        |  10gm   |  300ml  |  800gm   |
|----------------|---------|---------|----------|
|       7        |  20gm   |  200ml  |  500gm   |
|----------------|---------|---------|----------|
|       8        |  20gm   |  200ml  |  600gm   |
|----------------|---------|---------|----------|
|       9        |  20gm   |  200ml  |  800gm   |
|----------------|---------|---------|----------|
|       10       |  20gm   |  300ml  |  500gm   |
|----------------|---------|---------|----------|
|       11       |  20gm   |  300ml  |  600gm   |
|----------------|---------|---------|----------|
|       12       |  20gm   |  300ml  |  800gm   |
|----------------|---------|---------|----------|
|       13       |  30gm   |  200ml  |  500gm   |
|----------------|---------|---------|----------|
|       14       |  30gm   |  200ml  |  600gm   |
|----------------|---------|---------|----------|
|       15       |  30gm   |  200ml  |  800gm   |
|----------------|---------|---------|----------|
|       16       |  30gm   |  300ml  |  500gm   |
|----------------|---------|---------|----------|
|       17       |  30gm   |  300ml  |  600gm   |
|----------------|---------|---------|----------|
|       18       |  30gm   |  300ml  |  800gm   |
|----------------|---------|---------|----------|
